YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
2000,comedian,3/2/2000,Comedy,Ellen DeGeneres
2000,actor,3/20/2000,Acting,Chris Meloni
2000,actress,3/21/2000,Acting,Marla Sokoloff
2000,comedian,3/22/2000,Comedy,Eric Idle
2000,film actress,3/23/2000,Acting,Leelee Sobieski
2000,singer-songwriter,3/27/2000,Musician,John Lydon
2000,actor,3/28/2000,Acting,Joshua Jackson
2000,Reporter,3/29/2000,Media,Sam Donaldson
2000,actor,3/30/2000,Acting,Jimmy Smits
2000,actor,3/6/2000,Acting,Neil Patrick Harris
2000,actor,3/7/2000,Acting,Kevin Pollak
2000,american politician,3/8/2000,Politician,Bob Dole
2000,comedian,3/9/2000,Comedy,Garry Shandling
2000,Singer,4/10/2000,Musician,Roger Daltrey
2000,writer,4/11/2000,Media,Ben Stein
2000,Film actor,4/12/2000,Acting,Patrick Stewart
2000,actor,4/13/2000,Acting,David Alan Grier
2000,actor,4/17/2000,Acting,Stanley Tucci
2000,actress,4/18/2000,Acting,Samantha Mathis
2000,professional wrestler,4/19/2000,Athletics,Diamond Dallas Page
2000,former us senator,4/20/2000,Politician,Arlen Specter
2000,publisher,4/24/2000,Media,Hugh Hefner and Bentley twins
2000,model,4/24/2000,Media,Hugh Hefner and Bentley twins
2000,actress,4/25/2000,Acting,Kirsten Dunst
2000,film actress,4/26/2000,Acting,Jeanne Tripplehorn
2000,actor,4/27/2000,Acting,Stephen Baldwin
2000,Film actress,5/1/2000,Acting,S. Epatha Merkerson
2000,actor,5/10/2000,Acting,Andy Richter
2000,actress,5/11/2000,Acting,Betty White
2000,television actress,5/15/2000,Acting,Tracey Ullman
2000,actor,5/16/2000,Acting,Kyle MacLachlan
2000,actress,5/17/2000,Acting,Jane Leeves
2000,actor,5/18/2000,Acting,Michael Rapaport
2000,actor,5/2/2000,Acting,Luke Wilson
2000,actress,5/3/2000,Acting,Julie Warner
2000,actress,5/30/2000,Acting,Laura Kightlinger
2000,actress,5/31/2000,Acting,Thandie Newton
2000,actor,5/4/2000,Acting,Eric Close
2000,actress,5/8/2000,Acting,Wendie Malick
2000,actor,5/9/2000,Acting,Jesse L. Martin
2000,reality show contestant,6/1/2000,Media,Sonja Christopher
2000,actor,6/13/2000,Acting,Mark Curry
2000,television host,6/14/2000,Media,Jimmy Kimmel & Adam Carolla
2000,comedian,6/14/2000,Comedy,Jimmy Kimmel & Adam Carolla
2000,actress,6/15/2000,Acting,Julie Brown
2000,writer,6/19/2000,Media,Heather Donahue
2000,former press secretary,6/20/2000,Political Aide,Joe Lockhart
2000,actor,6/21/2000,Acting,Freddie Prinze Jr.
2000,actress,6/22/2000,Acting,Alicia Silverstone
2000,comic,6/26/2000,Comedy,Cheri Oteri
2000,game show host,6/27/2000,Media,Jeff Probst
2000,Guitarist,6/28/2000,Musician,Richie Sambora
2000,actor,6/29/2000,Acting,John C. Reilly
2000,magician,6/5/2000,Media,Penn and Teller
2000,actress,6/6/2000,Acting,Kelli Williams
2000,Filmmaker,6/7/2000,Media,Michael Moore
2000,actress,7/10/2000,Acting,Anna Paquin
2000,actor,7/11/2000,Acting,J. K. Simmons
2000,actress,7/12/2000,Acting,Famke Janssen
2000,actor,7/13/2000,Acting,Billy Crudup
2000,actor,7/17/2000,Acting,Shawn Wayans & Marlon Wayans
2000,actor,7/17/2000,Acting,Shawn Wayans & Marlon Wayans
2000,actress,7/18/2000,Acting,Halle Berry
2000,NA,7/19/2000,NA,Fourth Anniversary Special
2000,television personality,7/20/2000,Media,Al Roker
2000,actor,7/24/2000,Acting,Peter Fonda
2000,writer,7/25/2000,Media,Joe Eszterhas
2000,actress,7/26/2000,Acting,Jennifer Beals
2000,NA,7/31/2000,NA,"Campaign Trail to the Road to the White House Mo Rocca, Vance DeGeneres"
2000,american politician,8/1/2000,Politician,Bob Dole
2000,former governor of nebraska,8/15/2000,Politician,Bob Kerrey
2000,actor,8/16/2000,Acting,William Baldwin
2000,american politician,8/18/2000,Politician,Bob Dole
2000,Former U.S. Representative,8/2/2000,Politician,Mary Bono
2000,actor,8/22/2000,Acting,Jeremy Piven
2000,Musician,8/23/2000,Musician,Slash
2000,actor,8/24/2000,Acting,Vincent D'Onofrio
2000,american politician,8/3/2000,Politician,Bob Dole
2000,Former United States Secretary of Labor,8/4/2000,Politician,Robert Reich and Ben Stein
2000,writer,8/4/2000,Media,Robert Reich and Ben Stein
2000,actor,9/11/2000,Acting,Joe Mantegna
2000,actor,9/12/2000,Acting,Eugene Levy
2000,boxer,9/13/2000,Athletics,Lennox Lewis
2000,former us senator,9/14/2000,Politician,Joe Lieberman
2000,actor,9/18/2000,Acting,Ryan Phillippe
2000,actress,9/19/2000,Acting,Jamie Lee Curtis
2000,rock band,9/20/2000,Musician,Barenaked Ladies
2000,actor,9/21/2000,Acting,Jamie Foxx
2000,comedian,9/25/2000,Comedy,Jonathan Katz
2000,actor,9/26/2000,Acting,Bill Goldberg
2000,actor,9/27/2000,Acting,Sylvester Stallone
2000,actor,9/28/2000,Acting,Tony Danza
2000,film actor,9/5/2000,Acting,Donal Logue
2000,actor,9/6/2000,Acting,Greg Kinnear
2000,Band,9/7/2000,Musician,Spinal Tap
2001,singer,1/10/2001,Musician,Vitamin C
2001,actress,1/11/2001,Acting,Julia Stiles
2001,actor,1/15/2001,Acting,Willem Dafoe
2001,actor,1/16/2001,Acting,Tim Robbins
2001,Reporter,1/17/2001,Media,Sam Donaldson
2001,actress,1/18/2001,Acting,Lynn Whitfield
2001,television host,1/22/2001,Media,Bill O'Reilly
2001,actor,1/23/2001,Acting,Matthew McConaughey
2001,American football quarterback,1/24/2001,Athletics,Terry Bradshaw
2001,actor,1/25/2001,Acting,Topher Grace
2001,actor,1/29/2001,Acting,David Boreanaz
2001,film actress,1/30/2001,Acting,Dyan Cannon
2001,actor,1/31/2001,Acting,James van der Beek
2001,Comedian,1/9/2001,Comedy,Richard Lewis
2001,actor,10/1/2001,Acting,Kelsey Grammer
2001,actor,10/10/2001,Acting,Jeremy Piven
2001,journalist,10/11/2001,Media,John Miller
2001,chef,10/15/2001,Misc,Emeril Lagasse
2001,actress,10/16/2001,Acting,Lorraine Bracco
2001,actor,10/17/2001,Acting,Snoop Dogg
2001,journalist,10/18/2001,Media,Fareed Zakaria
2001,actor,10/2/2001,Acting,James Belushi
2001,Singer,10/22/2001,Musician,Lance Bass
2001,journalist,10/23/2001,Media,Don Dahler
2001,commentator,10/24/2001,Media,Greta Van Susteren
2001,actor,10/25/2001,Acting,Jeff Bridges
2001,professor,10/3/2001,Academic,Stephen S. Morse
2001,actor,10/30/2001,Acting,Rob Morrow
2001,Diplomat,10/31/2001,Government,Richard Holbrooke
2001,actress,10/4/2001,Acting,Kate Beckinsale
2001,actor,10/9/2001,Acting,Owen Wilson
2001,actor,11/1/2001,Acting,Kevin Spacey
2001,Journalist,11/12/2001,Media,Steve Kroft
2001,television presenter,11/13/2001,Media,Anne Robinson
2001,american television personality,11/14/2001,Media,Carson Daly
2001,actor,11/15/2001,Acting,John Stamos
2001,actor,11/26/2001,Acting,Edward Burns
2001,Lawyer,11/27/2001,Misc,Star Jones
